model,talkingheads

platform,pocket
inference_time,4.604872465133667,4.796908617019653,4.795066595077515,4.5792927742004395,4.581064224243164
cputime.total,695507126,697774027,748576426,682818226,723115555
cputime.user,695507126,697774027,748576426,682818226,723115555
cputime.sys,0,0,0,0,0
memory.max_usage,27078656,27545600,27660288,27353088,27955200
memory.memsw.max_usage,27078656,27545600,27660288,27353088,27955200
memory.stat.pgfault,9240,9438,9372,9306,9042
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,pocket-static
inference_time,4.684754371643066,4.385023832321167,4.79300594329834,4.8970677852630615,4.5030951499938965
cputime.total,674821524,682951263,676479670,727659063,734303036
cputime.user,674821524,682951263,676479670,727659063,734303036
cputime.sys,0,0,0,0,0
memory.max_usage,27406336,27316224,27676672,27947008,26992640
memory.memsw.max_usage,27406336,27316224,27676672,27947008,26992640
memory.stat.pgfault,9240,9339,9141,9240,9141
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,pocket-static-none
inference_time,16.602527618408203,16.71184015274048,17.089412450790405,16.070713758468628,16.879916191101074
cputime.total,701291715,804993408,795706425,679643600,730277446
cputime.user,701291715,804993408,795706425,679643600,730277446
cputime.sys,0,0,0,0,0
memory.max_usage,28164096,28020736,27537408,28229632,27779072
memory.memsw.max_usage,28164096,28020736,27537408,28229632,27779072
memory.stat.pgfault,9240,9339,9108,9273,9372
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

platform,monolithic
inference_time,8.088552474975586,8.693280220031738,8.00568699836731,8.494096040725708,8.609476327896118
cputime.total,57159347444,58562287851,59145396463,58162357175,59111386067
cputime.user,57159347444,58562287851,59145396463,58162357175,59111386067
cputime.sys,0,0,0,0,0
memory.max_usage,2214948864,2213838848,2251018240,2263789568,2238095360
memory.memsw.max_usage,2214948864,2213838848,2251018240,2263789568,2238095360
memory.stat.pgfault,831237,1046364,1321551,883146,885060
memory.stat.pgmajfault,0,0,0,0,0
memory.failcnt,0,0,0,0,0

