inference
be_cpu,1
be_mem,0.90gb
mobilenetv2,0.9632821083068848,0.9747061729431152,0.9474620819091797,0.9752185344696045,0.9339001178741455
resnet50,2.199505,2.796410,2.389333,2.385034,2.567090

cputime.total
mobilenetv2,687460310,633647711,732376043,585559633,726025984
resnet50,659808733,671074004,708952356,716004630,593051095
backend,48290488158,48244082332,47338926959,47197148912,47141425940

memory.max_usage
mobilenetv2,28278784,28016640,28647424,27451392,27869184
resnet50,27930624,27877376,28147712,28327936,28327936
backend,623955968,627916800,637739008,642490368,633159680

memory.max_usage
mobilenetv2,28278784,28016640,28647424,27451392,27869184
resnet50,27930624,27877376,28147712,28327936,28327936
backend,623955968,627916800,637739008,642490368,633159680

memory.stat.pgfault
mobilenetv2,9273,9273,9372,9372,9471
resnet50,9405,9339,9372,9306,9240
backend,493779,604659,376332,518331,441375

